taxon,ontogenetic status,source,volume
Abyssosaurus_nataliae,mature,model,1.2057
Albertonectes_vanderveldei,mature,model,3.0098
Aristonectes_quiriquinensis,mature,model,4.0562
Cryptoclidus_eurymerus,mature,model,0.3613
Dolichorhynchops_osborni,mature,model,0.4137
Hydrotherosaurus_alexandrae,mature,model,1.8277
Kronosaurus_MCZ_1285,mature,model,11.0968
Liopleurodon_ferox,mature,model,1.7482
Macroplata_tenuiceps,mature,model,0.6737
Martinectes_bonneri,mature,model,1.1661
Mauriciosaurus_fernandezi,immature,model,0.0776
Meyerasaurus_victor,mature,model,0.3639
Microcleidus_tournemirensis,mature,model,0.2173
Monquirasaurus_boyacensis,mature,model,9.6561
Peloneustes_philarchus,mature,model,1.0075
Pliosaurus_cf.kevani,mature,model,10.4712
Pliosaurus_funkei,mature,model,10.5937
Polycotylus_latipinnis,mature,model,1.0292
Sachicasaurus_vitae,mature,model,12.2288
Seelyosaurus_guilelmiimperatori,mature,model,0.194
Stenorhynchosaurus_munozi,immature,model,2.0928
Styxosaurus_SDSM_451,mature,model,2.9987
Thalassomedon_haningtoni,mature,model,6.6125
Vegasaurus_molyi,mature,model,0.8172
Archaeonectrus_rostratus,mature,trunk,0.2698
Attenborosaurus_conybeari,mature,trunk,0.6715
Atychodracon_megacephalus,mature,trunk,1.0652
Avalonnectes_arturi,mature,trunk,0.1233
Brachauchenius_lucasi,mature,trunk,1.6231
Brancasaurus_brancai,mature,trunk,0.1815
Callawayasaurus_colombiensis,mature,trunk,1.8461
Colymbosaurus_megadeirus,mature,trunk,1.3143
Elasmosaurus_platyurus,mature,trunk,3.381
Eoplesiosaurus_antiquior,mature,trunk,0.1396
Eretmosaurus_rugosus,mature,trunk,0.3419
Fluvionectes_sagecrensis,mature,trunk,0.6943
Hauffiosaurus_longirostris,mature,trunk,2.1684
Hauffiosaurus_tomistomimus,mature,trunk,0.6857
Hauffiosaurus_zanoni,mature,trunk,0.2604
Kaiwhekea_katiki,mature,trunk,1.9358
Lindwurmia_thiuda,mature,trunk,0.1385
Luskhan_itilensis,mature,trunk,2.3734
Microcleidus_brachypterygius,mature,trunk,0.1032
Microcleidus_homalospondylus,mature,trunk,0.6715
