Taxon,FL,FW,Trunk,Tail
Albertonectes_vanderveldei,380,224,2205,2270
Macroplata_tenuiceps,350,150,1287,1281
Rhomaleosaurus_cramptoni,536,248,2200,1877
Rhomaleosaurus_zetlandicus,335,125,1459,1214
Archaeonectrus_rostratus,257,132,970,1217
Plesiosaurus_dolichodeirus,180,90,760,730
Seeleyosaurus_SMNS_specimen,256,116,940,1127
Meyerasaurus_victor,385,163,1100,1108
Hauffiosaurus_zanoni,345,131,958,926
Atychodracon_megacephalus,340,157,1395,1710
Thalassiodracon_hawkinsii,147,56,447,492
Eoplesiosaurus_antiquior,215,85,768,937
Hauffiosaurus_tomistomimus,370,143,1350,1100
Microcleidus_brachypterygius,190,100,690,960
Brancasaurus_brancai_composite_,215,124,840,705
Peloneustes_philarchus,425,205,1431,1331
Cryptoclidus_eurymerus,256,179,1266,1054
Nichollssaura_borealis,177,109,1188,1098
Dolichorhynchops_osborni,256,116,1062,789
Wapuskanectes_betsynichollsae,296,213,1696,1707
Plesionectes_longicollum,170,78,844,875
Plesiopterys_wildi_MH7,213,113,842,913
