Taxon,FAD,LAD
Neusticosaurus_pusillus,242,237
Nothosaurus_marchicus,247.2,242
Yunguisaurus_liae,242,237
Pistosaurus_longaevus,247.2,242
Augustasaurus_hagdorni,247.2,242
Bobosaurus_forojuliensis,237,227
Macroplata_tenuiceps,201.3,199.3
Anningasaura_lymense,201.3,199.3
Stratesaurus_taylori,201.3,199.3
Avalonnectes_arturi,201.3,199.3
Eurycleidus_arcuatus,201.3,199.3
Meyerasaurus_victor,182.7,179.3
Maresaurus_coccai,170.3,168.3
Borealonectes_russelli,166.1,163.5
Atychodracon_megacephalus,201.3,199.3
Archaeonectrus_rostratus,201.3,199.3
Rhomaleosaurus_cramptoni,182.7,174.1
Rhomaleosaurus_zetlandicus,182.7,174.1
Rhomaleosaurus_thorntoni,182.7,174.1
Thalassiodracon_hawkinsii,201.3,199.3
Hauffiosaurus_longirostris,182.7,174.1
Hauffiosaurus_tomistomimus,182.7,174.1
Hauffiosaurus_zanoni,182.7,174.1
Marmornectes_candrewi,166.1,163.5
Peloneustes_philarchus,166.1,163.5
Simolestes_vorax,166.1,163.5
Pliosaurus_funkei,152.1,145
Pliosaurus_westburyensis,157.3,152.1
Pliosaurus_carpenteri,157.3,152.1
Pliosaurus_brachydeirus,157.3,152.1
Pliosaurus_macromerus,157.3,152.1
Pliosaurus_brachyspondylus,157.3,152.1
Pliosaurus_cf_kevani,157.3,152.1
Pliosaurus_kevani,157.3,152.1
Gallardosaurus_iturraldei,163.5,157.3
Pliosaurus_rossicus,152.1,145
Pliosaurus_irgisensis,152.1,145
Pliosaurus_andrewsi,166.1,163.5
Liopleurodon_ferox,166.1,163.5
Kronosaurus_queenslandicus,121,100.5
DORK_G_1_2,100.5,93.9
Megacephalosaurus_eulerti,93.9,89.8
Brachauchenius_lucasi,93.9,89.8
Brachauchenius_MNA_V9433,100.5,93.9
QM_F51291,105.5,100.5
Attenborosaurus_conybeari,199.3,190.8
Plesiosaurus_dolichodeirus,199.3,190.8
Eoplesiosaurus_antiquior,201.3,199.3
Eretmosaurus_rugosus,199.3,190.8
Westphaliasaurus_simonsensii,190.8,182.7
Microcleidus_tournemirensis,182.7,174.1
Microcleidus_brachypterygius,182.7,174.1
Microcleidus_homalospondylus,182.7,174.1
Cryptoclidus_eurymerus,166.1,163.5
Tricleidus_seeleyi,166.1,163.5
Muraenosaurus_leedsii,166.1,163.5
Kimmerosaurus_langhami,152.1,145
Pantosaurus_striatus,163.5,157.3
Picrocleidus_beloclis,166.1,163.5
Tatenectes_laramiensis,163.5,157.3
Plesiosaurus_manselii,157.3,145
Djupedalia_engeri,157.3,145
Spitrasaurus_spp,157.3,145
Abyssosaurus_nataliae,132.9,129.4
Umoonasaurus_demoscyllus,125,100.5
Nichollssaura_borealis,113,110.5
Leptocleidus_capensis,139.8,132.9
Leptocleidus_superstes,129.4,125
Vectocleidus_pastorum,129.4,125
Brancasaurus_brancai_composite_,145,139.8
Speeton_clay_plesiosaurian,132.9,129.4
Wapuskanectes_betsynichollsae,113,107.8
Futabasaurus_suzukii,86.3,83.6
Callawayasaurus_colombiensis,125,121
Eromangasaurus_australis,105.5,100.5
Kaiwhekea_katiki,72.1,66
Aristonectes_parvidens,83.6,66
Hydrotherosaurus_alexandrae,72.1,66
Stenorhynchosaurus_munozi,129.4,125
Anguanax_zignoi,163.5,157.3
Makhaira_rossica,132.9,129.4
Luskhan_itilensis,132.9,129.4
Edgarosaurus_muddi,105.5,100.5
Plesiopleurodon_wellesi,100.5,93.9
Richmond_pliosaur,105.5,100.5
Palmulasaurus_quadratus,93.9,89.8
Pahasapasaurus_haasi,99.6,93.9
Polycotylus_latipinnis,89.8,83.6
Thililua_longicollis,93.9,89.8
Trinacromerum_bentonianum,100.5,89.8
Dolichorhynchops_osborni,83.6,80
Martinectes_bonneri,83.6,80
Eopolycotylus_rankini,93.9,89.8
Manemergus_anguirostris,93.9,89.8
Dolichorhynchops_tropicensis,93.9,89.8
Georgiasaurus_penzensis,86.3,83.6
Dolichorhynchops_ROM_29010,86.3,72.1
Dolichorhynchops_herschelensis,76.1,66
Sulcusuchus_erraini,76.1,66
Mauriciosaurus_fernandezi,93.9,89.8
Pliosaurus_almanzaensis,150.8,145
Pliosaurus_patagonicus,150.8,145
Rhaeticosaurus_mertensi,208.5,201.3
Sachicasaurus_vitae,129.4,125
"""Monquirasaurus""_boyacensis",122.46,112.03
Acostasaurus_pavachoquensis,129.4,125
Nakonanectes_bradti,72.1,66
Albertonectes_vanderveldei,86.3,72.1
Aristonectes_quiriquinensis,72.1,66
Elasmosaurus_platyurus,86.3,72.1
Hydralmosaurus_serpentinus,86.3,72.1
Mauisaurus_haasti,86.3,72.1
Libonectes_morgani_composite_SK,93.9,89.8
Styxosaurus_snowii,86.3,72.1
Terminonatator_ponteixensis,86.3,72.1
Tuarangisaurus_keyesi,86.3,66
Zarafasaura_oceanis,72.1,66
Kawanectes_lafquenianum,86.3,66
Vegasaurus_molyi,72.1,66
Lagenanectes_richterae,132.9,129.4
Thalassomedon_haningtoni,100.5,93.9
Plesiopharos_moelensis,199.5,192.9
Colymbosaurus_megadeirus,157.3,145
Colymbosaurus_svalbardensis,152.1,145
Ophthalmothule_cryostea,152.1,145
Cryonectes_neustriacus,192.9,184.2
Arminisaurus_schuberti,192.9,184.2
Franconiasaurus_brevispinus,180.4,174.7
Plesiopterys_wildi_type,182.7,174.1
Plesiopterys_wildi_MH7,182.7,174.1
Seeleyosaurus_MB_specimen,182.7,174.1
Seeleyosaurus_SMNS_specimen,182.7,174.1
Plesionectes_longicollum,182.7,174.1
